lest1,l_std1,lest2,l_std2,lest3,l_std3,lest4,l_std4
0.1005,0.030486,0.0097791,0.0047998,0.021085,0.010393,0.005843,0.00041028
0.1007,0.031229,0.010081,0.0049156,0.020133,0.010319,0.0058266,0.0005152
0.099798,0.031845,0.0099368,0.0049248,0.020952,0.010373,0.0057989,0.00054303
0.099388,0.030192,0.010263,0.0049722,0.020459,0.0097553,0.0057543,0.00047665
0.10044,0.03087,0.010051,0.0050834,0.020337,0.010155,0.0057102,0.00040096
0.10163,0.030285,0.0099096,0.0049584,0.020287,0.0096612,0.0056949,0.00050355
0.099284,0.029279,0.0099944,0.0048618,0.020182,0.0097923,0.0056404,0.00035478
0.1007,0.030403,0.010128,0.0048277,0.01982,0.0099683,0.005648,0.00058299
0.0994,0.029719,0.010039,0.0048703,0.019556,0.0096042,0.0055889,0.00042925
0.10027,0.029858,0.010155,0.0049864,0.019593,0.0099675,0.005558,0.00042688
0.099522,0.028077,0.01017,0.0049743,0.019489,0.0095437,0.005544,0.00051916
0.10056,0.03031,0.0098361,0.0049689,0.01928,0.0093549,0.0055137,0.00051633
0.10048,0.02845,0.0098641,0.0051721,0.019862,0.0094561,0.0054674,0.00041992
0.10088,0.028959,0.0102,0.0049218,0.019737,0.0095911,0.0054541,0.00051074
0.1,0.030123,0.010038,0.0048689,0.019292,0.009609,0.0054301,0.00053521
0.10144,0.029101,0.010209,0.0050096,0.018948,0.0094744,0.0053904,0.00053331
0.10049,0.027781,0.010021,0.0049882,0.019367,0.0095531,0.0053617,0.00047409
0.1017,0.028726,0.0098889,0.0048743,0.019333,0.0093535,0.0053439,0.00052671
0.09919,0.028773,0.0099684,0.0049081,0.01898,0.0097804,0.0053263,0.00061984
0.10009,0.02916,0.0098429,0.0049128,0.018455,0.0088241,0.005288,0.0005212
0.099843,0.028013,0.0099063,0.0051173,0.019049,0.0094172,0.0052604,0.00056845
0.099398,0.028369,0.0098342,0.0049927,0.018456,0.0089302,0.0052539,0.00065169
0.10026,0.028141,0.0099794,0.0049464,0.018538,0.0092914,0.0052268,0.00060592
0.10043,0.028391,0.0098615,0.0048105,0.018552,0.0094583,0.0051641,0.00042777
0.099679,0.026859,0.0099643,0.0050398,0.018255,0.0091646,0.0051684,0.00057822
0.099794,0.027874,0.0098071,0.0047842,0.018374,0.0088945,0.0051066,0.00039221
0.10031,0.028461,0.0098485,0.0049907,0.018685,0.0095183,0.0051061,0.00052704
0.099046,0.028805,0.0096332,0.0047327,0.018275,0.0089838,0.0050955,0.0005907
0.098455,0.027005,0.010095,0.005039,0.018018,0.0089749,0.005055,0.00052177
0.098171,0.026242,0.010244,0.0051188,0.018036,0.0091032,0.005005,0.00038441
0.10013,0.028122,0.010015,0.0049936,0.018384,0.0092124,0.0049851,0.00041294
0.099009,0.027322,0.010133,0.0049672,0.017416,0.0086251,0.0049754,0.00053764
0.099412,0.026658,0.010191,0.0048272,0.017693,0.0089704,0.0049559,0.00051154
0.09933,0.026628,0.010039,0.0051895,0.017748,0.0087231,0.004922,0.00046092
0.10028,0.026439,0.0099369,0.0050725,0.017466,0.0082698,0.0048883,0.00040492
0.099991,0.02771,0.010213,0.0050392,0.017513,0.0091327,0.0049082,0.00060646
0.10073,0.026359,0.010216,0.0050389,0.017788,0.0090019,0.0048462,0.0004285
0.099664,0.025947,0.010182,0.0049277,0.017723,0.0087581,0.0048373,0.00054327
0.099742,0.025093,0.0099333,0.004846,0.017333,0.0085985,0.0048143,0.00049693
0.099909,0.025725,0.010005,0.005126,0.017587,0.0090109,0.0048104,0.00057637
0.1007,0.025939,0.0097689,0.0048725,0.017172,0.0085303,0.0047453,0.00036446
0.099333,0.027103,0.0099108,0.0050953,0.017593,0.0087271,0.0047653,0.00060837
0.10016,0.025126,0.010192,0.0050532,0.017597,0.0090888,0.0047056,0.00038979
0.099664,0.024947,0.0098977,0.0047902,0.017024,0.0082702,0.0047116,0.00056671
0.09981,0.024974,0.010278,0.0050094,0.016825,0.0083341,0.0046759,0.00046087
0.09989,0.026184,0.0099493,0.0050627,0.016858,0.0082441,0.0046498,0.00043543
0.098703,0.025877,0.0099495,0.0049906,0.017094,0.0087063,0.0046789,0.00064252
0.10009,0.026376,0.010274,0.0050368,0.016868,0.0086331,0.0046164,0.00047651
0.10019,0.026006,0.0098227,0.0049507,0.016662,0.0081027,0.0046045,0.00051514
0.09974,0.025208,0.010063,0.0049877,0.016824,0.0083047,0.0045792,0.00049294
0.098939,0.024629,0.0098063,0.0050057,0.016682,0.0084511,0.0045586,0.00049072
0.10093,0.025027,0.0099283,0.0047188,0.016782,0.0084714,0.0045291,0.00044641
0.10079,0.024439,0.010009,0.0050165,0.016097,0.0081871,0.0045268,0.00052477
0.099496,0.025351,0.010036,0.0049465,0.017007,0.0085288,0.0044933,0.0004638
0.099346,0.02532,0.010186,0.004839,0.01639,0.0083054,0.0044912,0.00053811
0.099036,0.023332,0.010018,0.0049571,0.01692,0.0081022,0.0044537,0.00045971
0.10032,0.025131,0.009864,0.004797,0.016522,0.0083724,0.004443,0.00049706
0.099266,0.024586,0.010192,0.0049746,0.016439,0.0081108,0.0044148,0.0004557
0.099443,0.024758,0.009887,0.0048575,0.016593,0.0080112,0.0044,0.00047365
0.10063,0.025199,0.0099784,0.0049268,0.016638,0.0082087,0.0044069,0.00060754
0.099401,0.025734,0.0098534,0.0049663,0.016338,0.008106,0.0043707,0.00050668
0.10059,0.025221,0.010116,0.0049176,0.015853,0.0076185,0.0043433,0.00046755
0.099292,0.024178,0.0099316,0.0048694,0.016153,0.0083598,0.0043034,0.00035647
0.10072,0.024019,0.009983,0.0049289,0.016138,0.0076724,0.0043447,0.00063945
0.1003,0.024015,0.0099237,0.004891,0.016493,0.0081704,0.0042669,0.00035345
0.10112,0.024726,0.010257,0.004965,0.016211,0.0081909,0.0042616,0.00042004
0.099973,0.023405,0.0098151,0.0048245,0.016128,0.0080987,0.0042563,0.00047618
