jest1, j_std1, jest2, j_std2, jest3 ,j_std3, jest4, j_std4
0.10053,0.032465,0.0096885,0.0067669,0.015961,0.011068,0.0041393,0.00057843
0.10074,0.033231,0.010114,0.0069139,0.015013,0.01098,0.0041301,0.00072462
0.099785,0.03386,0.0099113,0.0069106,0.015949,0.011029,0.0041048,0.000762
0.09935,0.032079,0.010368,0.0069611,0.015487,0.010365,0.004056,0.00066732
0.10047,0.032775,0.010071,0.0071006,0.01542,0.010782,0.0040079,0.00056007
0.10173,0.032131,0.009874,0.0069106,0.015427,0.01025,0.004,0.0007018
0.099241,0.031042,0.0099922,0.0067609,0.015373,0.010382,0.0039375,0.00049336
0.10074,0.032213,0.010178,0.0066989,0.015048,0.010562,0.0039612,0.00080895
0.099365,0.031468,0.010054,0.0067435,0.014824,0.010169,0.0038923,0.00059435
0.10029,0.031594,0.010214,0.0068896,0.014919,0.010547,0.0038626,0.00058981
0.099494,0.029691,0.010235,0.0068585,0.014862,0.010092,0.0038561,0.00071582
0.10059,0.032033,0.0097744,0.0068368,0.014693,0.0098864,0.0038271,0.00071043
0.10051,0.030049,0.0098134,0.007102,0.01536,0.0099874,0.0037761,0.00057661
0.10093,0.030568,0.010274,0.0067446,0.015278,0.010124,0.0037704,0.00069991
0.1,0.031778,0.010051,0.0066589,0.014857,0.010137,0.00375,0.00073197
0.10152,0.030683,0.010285,0.006838,0.014543,0.0099894,0.003708,0.00072795
0.10052,0.029275,0.010029,0.0067955,0.015032,0.010067,0.0036812,0.00064586
0.10179,0.030254,0.0098489,0.0066276,0.015043,0.009851,0.0036691,0.00071618
0.099147,0.030287,0.0099571,0.006661,0.014716,0.010295,0.0036571,0.00084122
0.10009,0.030678,0.0097872,0.0066549,0.014208,0.0092837,0.003617,0.00070602
0.099835,0.029457,0.0098732,0.0069192,0.014876,0.0099027,0.0035915,0.0007686
0.099367,0.029816,0.0097762,0.0067385,0.014296,0.0093858,0.0035944,0.00087956
0.10027,0.029562,0.0099722,0.0066639,0.014424,0.0097607,0.0035694,0.00081631
0.10045,0.029811,0.0098138,0.0064694,0.01448,0.0099312,0.0034966,0.00057527
0.099663,0.028189,0.0099521,0.0067658,0.014208,0.0096183,0.0035137,0.00077624
0.099784,0.02924,0.0097415,0.0064114,0.014373,0.0093305,0.0034422,0.00052562
0.10033,0.029842,0.0097973,0.0066768,0.014738,0.0099803,0.0034527,0.0007051
0.099,0.03019,0.0095101,0.0063208,0.014346,0.0094157,0.0034497,0.00078892
0.098381,0.028291,0.010127,0.0067186,0.014114,0.0094023,0.0034067,0.0006957
0.098085,0.02748,0.010325,0.0068137,0.01417,0.0095326,0.003351,0.00051169
0.10014,0.029437,0.01002,0.0066362,0.01457,0.0096429,0.0033355,0.00054878
0.098963,0.028587,0.010176,0.0065905,0.013593,0.0090245,0.0033333,0.00071334
0.099385,0.02788,0.010253,0.0063945,0.013917,0.0093819,0.0033182,0.00067763
0.0993,0.027839,0.010052,0.0068635,0.014009,0.0091196,0.0032839,0.0006096
0.1003,0.027629,0.0099167,0.0066983,0.013748,0.0086423,0.00325,0.00053471
0.099991,0.028947,0.01028,0.0066441,0.01383,0.0095404,0.0032866,0.0007996
0.10076,0.027526,0.010285,0.0066334,0.01415,0.0094002,0.0032152,0.00056411
0.099649,0.027085,0.010239,0.0064773,0.014114,0.0091422,0.0032138,0.0007141
0.09973,0.026184,0.0099125,0.0063604,0.013739,0.0089724,0.0031937,0.00065222
0.099905,0.026833,0.010006,0.006718,0.014034,0.0093993,0.0031988,0.00075536
0.10074,0.027047,0.0096975,0.0063764,0.013632,0.0088949,0.0031235,0.00047695
0.099305,0.028252,0.0098834,0.0066582,0.014102,0.0090969,0.0031595,0.00079499
0.10017,0.026182,0.01025,0.0065939,0.014134,0.0094707,0.0030915,0.00050862
0.09965,0.025986,0.0098667,0.0062418,0.013567,0.0086148,0.0031091,0.00073845
0.099802,0.026006,0.010361,0.0065182,0.013388,0.0086785,0.0030723,0.00059969
0.099885,0.027258,0.0099341,0.0065785,0.013451,0.008582,0.0030479,0.00056579
0.09865,0.026929,0.0099345,0.0064759,0.013724,0.0090602,0.0030952,0.00083375
0.10009,0.027439,0.010355,0.0065269,0.013516,0.0089812,0.0030237,0.00061748
0.1002,0.027046,0.0097706,0.0064068,0.013328,0.0084268,0.0030176,0.00066665
0.09973,0.026208,0.010082,0.0064461,0.013524,0.0086343,0.0029942,0.00063707
0.098898,0.025598,0.00975,0.0064608,0.013402,0.0087838,0.0029767,0.00063337
0.10097,0.026004,0.0099075,0.0060826,0.013531,0.0088023,0.002948,0.00057543
0.10082,0.025386,0.010011,0.006458,0.012845,0.0085044,0.002954,0.00067557
0.099477,0.026326,0.010046,0.0063598,0.013815,0.0088569,0.00292,0.00059631
0.099321,0.026286,0.010239,0.0062137,0.013198,0.0086224,0.0029261,0.00069098
0.099,0.024216,0.010023,0.0063574,0.013773,0.0084091,0.002887,0.00058957
0.10033,0.026076,0.0098258,0.0061444,0.013383,0.0086872,0.002882,0.00063669
0.099239,0.025503,0.010246,0.0063642,0.013321,0.0084135,0.0028547,0.00058299
0.099422,0.025675,0.0098556,0.0062068,0.013504,0.008308,0.0028444,0.00060522
0.10065,0.026125,0.0099724,0.0062878,0.013574,0.0085104,0.0028619,0.00077537
0.09938,0.026673,0.0098132,0.0063307,0.013285,0.0084019,0.0028242,0.00064587
0.10062,0.026135,0.010148,0.0062612,0.012804,0.0078946,0.0027978,0.0005953
0.099266,0.025047,0.009913,0.0061926,0.013137,0.0086605,0.0027554,0.00045334
0.10075,0.024876,0.0099784,0.006261,0.013143,0.0079464,0.0028162,0.00081228
0.10031,0.024867,0.0099032,0.0062058,0.013532,0.0084601,0.0027258,0.00044846
0.10115,0.025596,0.010326,0.0062925,0.013261,0.0084793,0.0027273,0.00053235
0.099972,0.024223,0.009766,0.0061076,0.013196,0.0083819,0.0027287,0.00060282
0.1005,0.025342,0.010021,0.0061887,0.013243,0.0080288,0.002709,0.00062312
0.099103,0.024236,0.0097368,0.0059889,0.013234,0.008145,0.0027158,0.00066073
0.099726,0.024381,0.0096597,0.0061445,0.013199,0.0080812,0.0027225,0.00073335
0.10169,0.024528,0.009849,0.0059096,0.013259,0.0081087,0.0026615,0.00054351
0.099541,0.024393,0.009829,0.006053,0.013209,0.0084704,0.002658,0.00058721
0.10001,0.023794,0.0096907,0.0061317,0.013342,0.0082618,0.0026753,0.00070409
0.099893,0.024352,0.010395,0.0063158,0.012767,0.0080836,0.0026154,0.00051051
0.10146,0.023365,0.010235,0.0062309,0.012874,0.0080902,0.002648,0.0006969
0.099046,0.024155,0.010132,0.0061826,0.012592,0.0077116,0.0025939,0.00052972
0.099059,0.024051,0.010394,0.0061236,0.012484,0.007592,0.0025909,0.00057238
0.10094,0.023948,0.0094925,0.0059225,0.012922,0.0077197,0.0025879,0.00061112
0.099303,0.023581,0.01017,0.0060422,0.012755,0.0079094,0.002555,0.00052177
0.10136,0.024023,0.0098408,0.0060135,0.013263,0.0079982,0.0025522,0.00056383
0.099803,0.023725,0.010332,0.0063437,0.013121,0.008117,0.0025693,0.0006762
0.098766,0.023727,0.0099754,0.006039,0.012873,0.0081459,0.002532,0.00057906
0.1004,0.023759,0.0098284,0.0060066,0.013101,0.0079721,0.0025735,0.0007965
0.10084,0.023241,0.0098195,0.0060915,0.013019,0.0075482,0.0025171,0.00061238
0.10035,0.023463,0.010087,0.0061009,0.012317,0.007726,0.0024854,0.00052883
0.10013,0.023119,0.0096232,0.0057391,0.013111,0.0074435,0.0024928,0.00060646
0.1004,0.022265,0.0098462,0.0059841,0.012975,0.0079529,0.0025,0.00067341
0.10135,0.022438,0.010024,0.0062287,0.012037,0.0072782,0.0025072,0.00073266
